DocumentPlenumSessionID,PlenumSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate,Unnamed: 0
128934,118093.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128934.doc,2010-06-03T06:55:29.75,
128935,117672.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128935.doc,2010-06-03T06:55:29.943,
128936,117672.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128936.DOC,2010-06-03T06:55:30.147,
128937,117052.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128937.DOC,2010-06-03T06:55:30.343,
128938,117052.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128938.doc,2010-06-03T06:55:30.567,
128939,115436.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128939.doc,2010-06-03T06:55:30.773,
128940,115436.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128940.DOC,2010-06-03T06:55:31,
128941,114273.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128941.DOC,2010-06-03T06:55:31.187,
128942,114273.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128942.doc,2010-06-03T06:55:31.39,
128943,113883.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128943.DOC,2010-06-03T06:55:31.58,
128944,113883.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128944.doc,2010-06-03T06:55:31.79,
128945,110734.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128945.DOC,2010-06-03T06:55:31.99,
128946,110734.0,28.0,דברי הכנסת,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_ptm_128946.doc,2010-06-03T06:55:32.23,
128947,110733.0,30.0,תוכן עניינים,1.0,DOC,https://fs.knesset.gov.il//16/Plenum/16_toc_128947.DOC,2010-06-03T06:55:32.443,
