DocumentBillID,BillID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
79881,180708,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78362.doc,2010-06-02T21:27:28.74
79891,180729,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78372.doc,2010-06-02T21:27:30.3
79894,180744,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78375.doc,2010-06-02T21:27:30.85
79899,180756,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78380.doc,2010-06-02T21:27:31.607
79903,180770,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78384.doc,2010-06-02T21:27:32.237
79906,180777,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78387.doc,2010-06-02T21:27:32.713
79909,180777,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78390.doc,2010-06-02T21:27:33.213
79911,180778,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78392.doc,2010-06-02T21:27:33.577
79912,180778,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78393.doc,2010-06-02T21:27:33.747
79916,180784,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78397.doc,2010-06-02T21:27:34.403
79920,180796,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78401.doc,2010-06-02T21:27:35.063
79921,180796,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78402.doc,2010-06-02T21:27:35.213
79923,180797,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78404.doc,2010-06-02T21:27:35.507
79925,180802,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78406.doc,2010-06-02T21:27:35.85
79927,180809,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78408.doc,2010-06-02T21:27:36.183
79930,180828,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78411.doc,2010-06-02T21:27:36.667
79934,180848,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78415.doc,2010-06-02T21:27:37.33
79950,180895,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78431.doc,2010-06-02T21:27:40.023
79952,180896,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78433.doc,2010-06-02T21:27:40.317
79955,180954,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78436.doc,2010-06-02T21:27:40.763
79957,180954,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78438.doc,2010-06-02T21:27:41.07
79959,180954,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78440.doc,2010-06-02T21:27:41.377
79961,180960,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78442.doc,2010-06-02T21:27:41.717
79967,180970,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78448.doc,2010-06-02T21:27:42.847
79968,180973,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78449.doc,2010-06-02T21:27:43.02
79977,180998,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78458.doc,2010-06-02T21:27:44.54
79982,181000,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78463.doc,2010-06-02T21:27:45.353
79983,181007,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78464.doc,2010-06-02T21:27:45.51
79985,181032,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78466.doc,2010-06-02T21:27:45.827
79987,181032,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78468.doc,2010-06-02T21:27:46.137
79988,181032,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78469.doc,2010-06-02T21:27:46.283
79995,181057,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78476.doc,2010-06-02T21:27:47.35
79998,181062,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78479.doc,2010-06-02T21:27:47.817
79999,181064,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78480.doc,2010-06-02T21:27:47.973
80000,181064,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78481.doc,2010-06-02T21:27:48.133
80004,181065,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78485.doc,2010-06-02T21:27:48.74
80006,181066,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78487.doc,2010-06-02T21:27:49.07
80011,181110,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78492.doc,2010-06-02T21:27:49.867
80012,181110,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78493.doc,2010-06-02T21:27:50.07
80014,181135,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78495.doc,2010-06-02T21:27:50.37
80015,181135,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78496.doc,2010-06-02T21:27:50.517
80018,181154,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78499.doc,2010-06-02T21:27:51.013
80025,181242,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78506.doc,2010-06-02T21:27:52.127
80029,181246,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78510.doc,2010-06-02T21:27:52.797
80038,181254,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78519.doc,2010-06-02T21:27:54.28
80040,181341,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78521.doc,2010-06-02T21:27:54.627
80043,181377,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78524.doc,2010-06-02T21:27:55.07
80046,181398,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78527.doc,2010-06-02T21:27:55.54
80048,181398,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78529.doc,2010-06-02T21:27:55.89
80060,181415,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78541.doc,2010-06-02T21:27:57.8
80065,181438,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78546.doc,2010-06-02T21:27:58.577
80066,181465,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78547.doc,2010-06-02T21:27:58.727
80067,181466,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78548.doc,2010-06-02T21:27:58.87
80069,181538,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78550.doc,2010-06-02T21:27:59.19
80071,181539,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78552.doc,2010-06-02T21:27:59.5
80072,181539,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78553.doc,2010-06-02T21:27:59.657
80073,181541,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78554.doc,2010-06-02T21:27:59.8
80076,181548,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78557.doc,2010-06-02T21:28:00.263
80079,181553,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78560.doc,2010-06-02T21:28:00.73
80080,181553,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78561.doc,2010-06-02T21:28:00.89
80082,181579,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78563.doc,2010-06-02T21:28:01.19
80086,181607,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78567.doc,2010-06-02T21:28:01.88
80089,181610,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78570.doc,2010-06-02T21:28:02.37
80091,181622,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78572.doc,2010-06-02T21:28:02.693
80096,181662,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78577.doc,2010-06-02T21:28:03.47
80098,181676,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78579.doc,2010-06-02T21:28:03.777
80101,181731,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78582.doc,2010-06-02T21:28:04.26
80103,181760,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78584.doc,2010-06-02T21:28:04.557
80105,181760,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78586.doc,2010-06-02T21:28:04.93
80107,181767,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78588.doc,2010-06-02T21:28:05.24
80110,181767,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78591.doc,2010-06-02T21:28:05.703
80111,181784,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78592.doc,2010-06-02T21:28:05.853
80113,181784,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78594.doc,2010-06-02T21:28:06.153
80114,181784,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78595.doc,2010-06-02T21:28:06.327
80116,181784,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78597.doc,2010-06-02T21:28:06.647
80118,181785,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78599.doc,2010-06-02T21:28:06.947
80119,181785,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78600.doc,2010-06-02T21:28:07.093
80123,181860,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78604.doc,2010-06-02T21:28:07.68
80124,181868,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78605.doc,2010-06-02T21:28:07.823
80126,181868,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78607.doc,2010-06-02T21:28:08.11
80127,181873,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78608.doc,2010-06-02T21:28:08.283
80130,181873,15,קטע מדברי הכנסת,1,DOC,https://fs.knesset.gov.il//17/law/17_ls_ptk_78611.doc,2010-06-02T21:28:08.78
80132,181875,1,הצעת חוק לדיון מוקדם,1,DOC,https://fs.knesset.gov.il//17/law/17_lst  _78613.doc,2010-06-02T21:28:09.103
