DocumentCommitteeSessionID,CommitteeSessionID,GroupTypeID,GroupTypeDesc,ApplicationID,ApplicationDesc,FilePath,LastUpdatedDate
312159,472975,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330650.doc,2016-04-08T10:22:45.853
312160,473336,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330651.doc,2016-04-08T10:22:48.983
312163,473457,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330654.doc,2016-04-08T10:22:58.233
312164,472084,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330655.doc,2016-04-08T10:23:01.34
312165,473368,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330656.doc,2016-04-08T10:23:04.37
312169,472089,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330660.doc,2016-04-08T10:23:18.893
312170,472090,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330661.doc,2016-04-08T10:23:22.31
312172,474073,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330663.doc,2016-04-08T10:23:28.42
312173,472091,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330664.doc,2016-04-08T10:23:31.417
312174,473074,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330665.doc,2016-04-08T10:23:34.61
312176,474169,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330667.doc,2016-04-08T10:23:40.51
312072,471748,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330563.doc,2016-04-08T10:17:59.487
311553,431987,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330044.doc,2016-04-08T09:50:31.527
311509,431990,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_330000.doc,2016-04-08T09:48:13.943
311327,429947,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329818.doc,2016-04-08T09:38:35.1
311176,427756,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329667.doc,2016-04-08T09:30:23.33
311192,430835,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329683.doc,2016-04-08T09:31:19.423
311035,428900,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329526.doc,2016-04-08T09:22:35.367
310845,425365,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329336.doc,2016-04-08T09:11:43.3
310681,422176,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329172.docx,2016-04-08T09:02:29.967
310609,422173,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329100.doc,2016-04-08T08:58:19.283
310630,422285,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329121.doc,2016-04-08T08:59:38.717
310662,425355,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_329153.docx,2016-04-08T09:01:25.26
310227,419373,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//18/Committees/18_cs_bg_328718.doc,2016-04-08T08:37:43.633
309403,578735,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//20/Committees/20_cs_bg_327894.doc,2016-04-08T02:44:35.363
308954,578841,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//20/Committees/20_cs_bg_327445.docx,2016-04-08T02:06:56.167
308972,567354,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//20/Committees/20_cs_bg_327463.doc,2016-04-08T02:08:13.417
308442,543891,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326933.doc,2016-04-07T22:57:21.997
308462,541940,87,חומר רקע,1,DOC,https://fs.knesset.gov.il//19/Committees/19_cs_bg_326953.doc,2016-04-07T22:58:20.67
