doc,error
"{'DocumentBillID': '205566', 'BillID': 146997, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//9/law/9_lsr_204041.TIF', 'LastUpdatedDate': '2012-07-02T16:58:04.61'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205567', 'BillID': 146998, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//9/law/9_lsr_204042.TIF', 'LastUpdatedDate': '2012-07-02T16:58:06.9'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205567', 'BillID': 146998, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//9/law/9_lsr_208016.PDF', 'LastUpdatedDate': '2012-07-02T16:58:06.9'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205568', 'BillID': 146999, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//9/law/9_lsr_208017.PDF', 'LastUpdatedDate': '2012-07-02T16:58:09.163'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205568', 'BillID': 146999, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//9/law/9_lsr_204043.TIF', 'LastUpdatedDate': '2012-07-02T16:58:09.163'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205569', 'BillID': 147000, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_204044.TIF', 'LastUpdatedDate': '2012-07-02T16:58:11.34'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205569', 'BillID': 147000, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208018.PDF', 'LastUpdatedDate': '2012-07-02T16:58:11.34'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205570', 'BillID': 147001, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208019.PDF', 'LastUpdatedDate': '2012-07-02T16:58:13.283'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205570', 'BillID': 147001, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_204045.TIF', 'LastUpdatedDate': '2012-07-02T16:58:13.283'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205571', 'BillID': 147003, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 8, 'ApplicationDesc': 'PIC', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_204046.TIF', 'LastUpdatedDate': '2012-07-02T16:58:15.847'}",'NoneType' object has no attribute 'lower'
"{'DocumentBillID': '205571', 'BillID': 147003, 'GroupTypeID': 9, 'GroupTypeDesc': 'חוק - פרסום ברשומות', 'ApplicationID': 4, 'ApplicationDesc': 'PDF', 'FilePath': 'https://fs.knesset.gov.il//1/law/1_lsr_208020.PDF', 'LastUpdatedDate': '2012-07-02T16:58:15.847'}",'NoneType' object has no attribute 'lower'
